Dataset,Model,MAP,MRR,Recall@5,Recall@10
eanci,tfidf,0.4472179370618316,0.6715617715617715,0.1605791933201237,0.3186797031055585
eanci,bm25,0.4565250905580453,0.6716524216524217,0.1670093386454425,0.3183457064708553
eanci,sbert,0.4627710409065456,0.7359126984126985,0.1946868591585587,0.3329910800905879
eanci,codebert,0.4283813542066572,0.7006766381766381,0.1618568079461546,0.298695169881762
etour,tfidf,0.2525036744372997,0.5668653625024817,0.2173906989696463,0.3233430799220272
etour,bm25,0.2565718007970721,0.590016329436464,0.2438318017265385,0.3234126984126984
etour,sbert,0.3401937654964275,0.668558931387126,0.3146129211918685,0.4494082428292954
etour,codebert,0.1660631618334816,0.2399338819824954,0.1076998050682261,0.1482386521860206
itrust,tfidf,0.142740228077105,0.2660325272666622,0.1662734162734162,0.2459495209495209
itrust,bm25,0.1465865171849858,0.2785232006990761,0.1965179465179465,0.2642785642785643
itrust,sbert,0.1348114292197337,0.2432930854041459,0.1754182754182754,0.241076791076791
itrust,codebert,0.0351459323249686,0.0797432668656583,0.0271235521235521,0.0401437151437151
smos,tfidf,0.2061841115624487,0.6290334044065387,0.0996235100481669,0.2036996940698248
smos,bm25,0.207398805843245,0.6433842691305378,0.1002139530858167,0.20666577183374
smos,sbert,0.1738810238696362,0.5364018651332085,0.0840730374370224,0.1675836870490537
smos,codebert,0.1671902959595839,0.4318300273524154,0.0731500246079054,0.1643072416188261
